,solar_capacity,solar_generation_actual,wind_capacity,wind_generation_actual,windspeed_10m,radiation_direct_horizontal,radiation_diffuse_horizontal,precipitation,temperature,irradiance_surface,irradiance_toa,snowfall,snow_mass,cloud_cover,air_density
2014-01-01 00:00:00+00:00,36012,0.0,32425,8086.0,4.981596,0.0,0.0,0.0364,-1.146,0.0,0.0,0.0056,0.2378,0.9562,1.2539
2014-01-01 01:00:00+00:00,36012,0.0,32425,8803.0,4.932105,0.0,0.0,0.0449,-1.104,0.0,0.0,0.0074,0.2428,0.9672,1.2535
2014-01-01 02:00:00+00:00,36012,0.0,32425,8970.0,4.865019,0.0,0.0,0.0513,-1.0590000000000002,0.0,0.0,0.0129,0.2521,0.9733,1.253
2014-01-01 03:00:00+00:00,36012,0.0,32425,8510.0,4.842338,0.0,0.0,0.0544,-0.9259999999999999,0.0,0.0,0.013999999999999999,0.2642,0.9651,1.2523
2014-01-01 04:00:00+00:00,36012,0.0,32425,8360.0,4.772505000000001,0.0,0.0,0.0512,-0.746,0.0,0.0,0.0144,0.2764,0.937,1.2516
2014-01-01 05:00:00+00:00,36012,0.0,32425,8047.0,4.748161,0.0,0.0,0.0459,-0.5670000000000001,0.0,0.0,0.0145,0.2893,0.8966,1.2508
2014-01-01 06:00:00+00:00,36012,1.0,32425,8232.0,4.721993,0.0,0.0,0.0363,-0.39,0.0,0.0002,0.0124,0.3004,0.8494,1.2499
2014-01-01 07:00:00+00:00,36012,171.0,32425,8380.0,4.700023000000001,0.323851584866,6.25314841513,0.0293,-0.153,7.1995,31.7764,0.011000000000000001,0.3097,0.7921,1.2491
2014-01-01 08:00:00+00:00,36012,1332.0,32425,8084.0,4.944501,5.235752885319999,47.1536471147,0.0248,0.6729999999999999,49.7607,172.1293,0.0071,0.3155,0.723,1.2474
2014-01-01 09:00:00+00:00,36012,3396.0,32425,7011.0,4.995092,19.2938874661,93.1495125339,0.0158,1.699,102.8407,292.4387,0.0036,0.314,0.6537,1.2445
2014-01-01 10:00:00+00:00,36012,5248.0,32425,6630.0,4.943887999999999,45.0554459833,122.06075401700001,0.0092,2.7110000000000003,150.7383,363.5863,0.0018,0.3044,0.5824,1.2405
2014-01-01 11:00:00+00:00,36012,6546.0,32425,5944.0,5.0711379999999995,66.3741924942,126.66030750600001,0.005,3.614,174.3725,380.7447,0.0008,0.2908,0.5423,1.236
2014-01-01 12:00:00+00:00,36012,6491.0,32425,5598.0,4.873893,61.246841921400005,115.04735807899999,0.0034,4.084,159.519,342.7244,0.0005,0.2771,0.5609,1.2329
2014-01-01 13:00:00+00:00,36012,4793.0,32425,5392.0,4.42887,33.1142238193,87.8572761807,0.0023,3.85,109.9696,252.1368,0.0003,0.2673,0.6202,1.2317
2014-01-01 14:00:00+00:00,36012,2210.0,32425,5781.0,4.382415,8.10164722107,40.822752778899996,0.0014,2.608,42.6281,115.6233,0.0003,0.2629,0.7003,1.2321
2014-01-01 15:00:00+00:00,36012,304.0,32425,7948.0,4.8806,0.200590897122,2.36860910288,0.0012,1.429,1.9139,7.2958,0.0002,0.2616,0.762,1.2336
2014-01-01 16:00:00+00:00,36012,1.0,32425,9822.0,5.402495,0.0,0.0,0.0022,1.2570000000000001,0.0,0.0,0.0001,0.2603,0.8244,1.2352
2014-01-01 17:00:00+00:00,36012,0.0,32425,11036.0,5.754707,0.0,0.0,0.0043,1.195,0.0,0.0,0.0001,0.259,0.8731,1.2366
2014-01-01 18:00:00+00:00,36012,0.0,32425,12357.0,5.976673,0.0,0.0,0.0062,1.13,0.0,0.0,0.0009,0.258,0.8917,1.2375
2014-01-01 19:00:00+00:00,36012,0.0,32425,12848.0,6.136487000000001,0.0,0.0,0.0082,1.033,0.0,0.0,0.0019,0.2574,0.9058,1.2381
2014-01-01 20:00:00+00:00,36012,0.0,32425,12980.0,6.309936,0.0,0.0,0.0101,0.9640000000000001,0.0,0.0,0.0017,0.2565,0.9101,1.2382
2014-01-01 21:00:00+00:00,36012,0.0,32425,13498.0,6.480123000000001,0.0,0.0,0.0144,0.9520000000000001,0.0,0.0,0.0017,0.2555,0.9317,1.2378
2014-01-01 22:00:00+00:00,36012,0.0,32425,13991.0,6.531422,0.0,0.0,0.0212,0.976,0.0,0.0,0.0019,0.2546,0.9576,1.2372
2014-01-01 23:00:00+00:00,36016,0.0,32428,13777.0,6.548728,0.0,0.0,0.0325,1.057,0.0,0.0,0.0019,0.2542,0.9772,1.2362
2014-01-02 00:00:00+00:00,36016,0.0,32428,13826.0,6.568958,0.0,0.0,0.0488,1.175,0.0,0.0,0.0015,0.2537,0.9847,1.2348
2014-01-02 01:00:00+00:00,36016,0.0,32428,14098.0,6.585888000000001,0.0,0.0,0.0782,1.284,0.0,0.0,0.002,0.2533,0.9874,1.2335
2014-01-02 02:00:00+00:00,36016,0.0,32428,14786.0,6.626506,0.0,0.0,0.1155,1.4040000000000001,0.0,0.0,0.0017,0.253,0.9858,1.2321
2014-01-02 03:00:00+00:00,36016,0.0,32428,14998.0,6.766141,0.0,0.0,0.1457,1.554,0.0,0.0,0.0023,0.2529,0.9852,1.2306
2014-01-02 04:00:00+00:00,36016,0.0,32428,15127.0,6.939241,0.0,0.0,0.1628,1.714,0.0,0.0,0.0052,0.2548,0.9874,1.2293
2014-01-02 05:00:00+00:00,36016,0.0,32428,15705.0,7.010998,0.0,0.0,0.1731,1.8619999999999999,0.0,0.0,0.0062,0.258,0.9896,1.2285
2014-01-02 06:00:00+00:00,36016,0.0,32428,15864.0,6.985596000000001,0.0,0.0,0.1741,1.974,0.0,0.0003,0.0045,0.2606,0.9894,1.2279
2014-01-02 07:00:00+00:00,36016,95.0,32428,15299.0,6.918576,0.0634384260039,3.624761574,0.1577,2.138,4.3182,32.7599,0.0049,0.2627,0.9823,1.2275
2014-01-02 08:00:00+00:00,36016,607.0,32428,14664.0,6.876691,0.6652848737899999,26.7281151262,0.1202,2.589,27.69,173.9545,0.0044,0.2642,0.9702,1.2264
2014-01-02 09:00:00+00:00,36016,1516.0,32428,14266.0,6.912742999999999,1.9926710761700002,57.1946289238,0.0814,3.2230000000000003,56.7914,294.3428,0.0016,0.2619,0.9474,1.2245
2014-01-02 10:00:00+00:00,36016,2396.0,32428,13012.0,6.848476,4.384681005309999,86.6408189947,0.0621,3.889,81.2259,365.5526,0.0007,0.2554,0.917,1.2219
2014-01-02 11:00:00+00:00,36016,3135.0,32428,12138.0,6.773377,7.51035971636,105.544740284,0.0556,4.492,94.1668,382.7221,0.0009,0.2475,0.8888,1.2189
2014-01-02 12:00:00+00:00,36016,2988.0,32428,12272.0,6.603883000000001,7.227928781889999,97.1136712181,0.051,4.876,89.8864,344.6857,0.001,0.2397,0.8591,1.2165
2014-01-02 13:00:00+00:00,36016,1941.0,32428,12149.0,6.370173,4.75008955896,70.668810441,0.0455,4.92,65.36399999999999,254.0504,0.0006,0.2326,0.8226,1.2155
2014-01-02 14:00:00+00:00,36016,840.0,32428,12066.0,6.001792,1.40145114041,29.8214488596,0.038,4.56,27.1675,117.3996,0.0002,0.2271,0.7728,1.2159
2014-01-02 15:00:00+00:00,36016,161.0,32428,11815.0,5.767264,0.0514019529276,1.7466980470700002,0.032,4.015,1.3832,7.672999999999999,0.0001,0.2241,0.7324,1.2173
2014-01-02 16:00:00+00:00,36016,1.0,32428,12430.0,5.673094,0.0,0.0,0.0295,3.865,0.0,0.0,0.0001,0.222,0.6899,1.2186
2014-01-02 17:00:00+00:00,36016,0.0,32428,11976.0,5.403564,0.0,0.0,0.0246,3.801,0.0,0.0,0.0004,0.2202,0.6468,1.2193
2014-01-02 18:00:00+00:00,36016,0.0,32428,11658.0,5.097168,0.0,0.0,0.0199,3.665,0.0,0.0,0.0007,0.21899999999999997,0.5917,1.2199
2014-01-02 19:00:00+00:00,36016,0.0,32428,10742.0,4.885146,0.0,0.0,0.0123,3.492,0.0,0.0,0.0001,0.2177,0.551,1.2208
2014-01-02 20:00:00+00:00,36016,0.0,32428,9784.0,4.662036,0.0,0.0,0.0081,3.3,0.0,0.0,0.0,0.2163,0.5206,1.222
2014-01-02 21:00:00+00:00,36016,0.0,32428,8789.0,4.553368,0.0,0.0,0.0076,3.085,0.0,0.0,0.0,0.2153,0.5065,1.2234
2014-01-02 22:00:00+00:00,36016,0.0,32428,8786.0,4.503956,0.0,0.0,0.0068,2.8930000000000002,0.0,0.0,0.0,0.2146,0.5212,1.2248
2014-01-02 23:00:00+00:00,36017,0.0,32428,7916.0,4.495355,0.0,0.0,0.0069,2.694,0.0,0.0,0.0,0.2138,0.5474,1.2264
2014-01-03 00:00:00+00:00,36017,0.0,32428,7886.0,4.540741000000001,0.0,0.0,0.0065,2.487,0.0,0.0,0.0,0.2131,0.5995,1.228
2014-01-03 01:00:00+00:00,36017,0.0,32428,8160.0,4.685661,0.0,0.0,0.0062,2.394,0.0,0.0,0.0003,0.2125,0.6813,1.2295
2014-01-03 02:00:00+00:00,36017,0.0,32428,9171.0,4.931976000000001,0.0,0.0,0.0063,2.3680000000000003,0.0,0.0,0.0003,0.2121,0.7784,1.2306
2014-01-03 03:00:00+00:00,36017,0.0,32428,10076.0,5.153525,0.0,0.0,0.0062,2.354,0.0,0.0,0.0004,0.2117,0.8587,1.2312
2014-01-03 04:00:00+00:00,36017,0.0,32428,11056.0,5.461183,0.0,0.0,0.0061,2.3280000000000003,0.0,0.0,0.0007,0.2115,0.9146,1.2316
2014-01-03 05:00:00+00:00,36017,0.0,32428,12166.0,5.865636,0.0,0.0,0.0088,2.326,0.0,0.0,0.0009,0.2115,0.9523,1.2318
2014-01-03 06:00:00+00:00,36017,1.0,32428,13030.0,6.160759,0.0,0.0,0.0212,2.314,0.0001,0.0005,0.0008,0.2116,0.9695,1.2319
2014-01-03 07:00:00+00:00,36017,284.0,32428,14118.0,6.505994,0.224771499748,6.23522850025,0.0453,2.437,6.7789,33.8528,0.0005,0.2112,0.9721,1.2317
2014-01-03 08:00:00+00:00,36017,1918.0,32428,14676.0,6.856279,2.2825390351499997,40.9920609649,0.0556,3.135,42.1731,175.9488,0.0001,0.2101,0.9629,1.23
